Preliminary Verdict:,Seq Coverage
Eukaryota,96.5148704406668
Eukaryota,96.5702987324225
Eukaryota,97.7926139265872
Eukaryota,97.8551209549763
Eukaryota,99.4223167623429
Eukaryota,100.025149232181
Eukaryota,100.153319088068
Eukaryota,100.281084407644
Eukaryota,101.32133426773
Eukaryota,101.455591285528
Eukaryota,102.577500776706
Eukaryota,103.444765486836
Eukaryota,103.746255356849
Eukaryota,104.156784565916
Eukaryota,105.198012133729
Eukaryota,105.526437956809
Eukaryota,105.934429703146
Eukaryota,105.956184253209
Eukaryota,106.840775693405
Eukaryota,106.957585531393
Eukaryota,107.184898397161
Eukaryota,107.338929508494
Eukaryota,107.58620779443
Eukaryota,107.747245284404
Eukaryota,108.609645574587
Eukaryota,108.718165665454
Eukaryota,109.01904702643
Eukaryota,109.401108341037
Eukaryota,109.560296729798
Eukaryota,109.958128678419
Eukaryota,109.998221653338
Eukaryota,110.811970449771
Eukaryota,111.045944152946
Eukaryota,111.196817681319
Eukaryota,111.442449434002
Eukaryota,111.465649849638
Eukaryota,111.513728346891
Eukaryota,111.783176356699
Eukaryota,111.899318691823
Eukaryota,111.904943529237
Eukaryota,112.039203092477
Eukaryota,112.902975110087
Eukaryota,113.076340560881
Eukaryota,113.796338978522
Eukaryota,113.825841260826
Eukaryota,114.074138192753
Eukaryota,114.174283469126
Eukaryota,114.640727855164
Eukaryota,114.839900608345
Eukaryota,114.968148465006
Eukaryota,115.072876564329
Eukaryota,115.15728991933
Eukaryota,115.177932080684
Eukaryota,115.834283170352
Eukaryota,115.996785295304
mtDNA,116.219905744114
Prokaryote,116.252698504511
Prokaryote,116.718317611904
Prokaryote,118.024717090091
Prokaryote,118.32368897435
Prokaryote,118.350609112238
Prokaryote,120.973500612203
Prokaryote,122.732796678018
Prokaryote,128.024544226526
Prokaryote,134.926220273439
Prokaryote,139.902591105067
Prokaryote,147.940674169265
Prokaryote,159.328832116788
Prokaryote,166.135377317052
Prokaryote,179.243207214189
Prokaryote,41.1418024522718
Prokaryote,530.431266846361
Prokaryote,10.1707651835754
Prokaryote,10.8412067854842
Prokaryote,10.891126266091
